talk_id,author,institution,location
52,Amanda Lamberson,The University of Texas at San Antonio,"San Antonio, TX, USA"
53,Jamie Liang,Trinity University,"Houston, TX, USA"
53,Troy Murphy,Trinity University,"San Antonio, TX, USA"
54,Darren Proppe,St. Edward's University,"Dripping Springs, TX, USA"
54,Lisa O'Donnell,City of Austin Wildland Conservation Division,"Austin, TX, USA"
54,Christopher Warren,Maui Forest Bird Recovery Project,"Makawao, USA"
54,Alexandra Yost,Wild Basin Creative Research Center,"Austin, TX, USA"
54,Dania Marín,Wild Basin Creative Research Center,"Austin, TX, USA"
55,Maia Dykstra,Trinity University,"San Antonio, TX, USA"
55,Troy Murphy,Trinity University,"San Antonio, TX, USA"
56,Lindsey Chiesl,Tarleton State University,"Stephenville, TX, USA"
56,Heather Mathewson,Tarleton State University,"Stephenville, TX, USA"
56,Gabrielle Names,North Dakota State University,"Fargo, ND, USA"
56,Britt Heidinger,North Dakota State University,"Fargo, ND, USA"
57,Molly Koeck,Oklahoma State University,"Stillwater, OK, USA"
57,Colter Chitwood,Oklahoma State University,"Stillwater, OK, USA"
57,Anna Moeller,Oklahoma State University,"Stillwater, OK, USA"
58,Breanna Green,CKWRI - Texas A&M Kingsville,"Kingsville, TX, USA"
58,Evan Tanner,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
58,Richard Chandler,Warnell School of Forestry and Natural Resources,"Athens, GA, USA"
58,Heather Abernathy,"Haub School of Natural Resources, Laramie, WY, USA L. Mike Conner, The Jones Center at Ichauway","Newton, GA, USA"
58,Elina Garrison,Florida Fish and Wildlife Conservation Commission,"Tallahassee, FL, USA"
58,David Shindle,US Fish and Wildlife Service,"Immokalee, FL, USA"
58,Karl Miller,University of Georgia,"Athens, GA, USA"
58,Michael Cherry,CKWRI,"Kingsville, TX, USA"
59,Joseph Hediger,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
59,Matthew Moore,Faith Ranch,"Houston, TX, USA"
59,Cole Anderson,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
59,Charles DeYoung,NA,"Kingsville, TX, USA"
59,David Hewitt,Caesar Kleberg Wildlife Research Institute / Texas A&M University Kingsville,"Kingsville, TX, USA"
59,Stuart Stedman,Faith Ranch,"77001, TX, USA"
59,Randy DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
59,Michael Cherry,CKWRI,"Kingsville, TX, USA"
60,Miranda Hopper,TAMUK-CKWRI,"Kingsville, TX, USA"
60,Bryan Spencer,Caesar Kleberg Wildlife Research Institute - Texas A&M University,"Kingsville, TX, USA"
60,Randy DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
60,Aaron Foley,"CKWRI-TAMUK, Kingsville, TX, USA J. Alfonso Ortega, CKWRI-TAMUK","Kingsville, TX, USA"
60,Landon Schofield,East Foundation,"Kingsville, TX, USA"
60,Tyler Campbell,East Foundation,"San Antonio, TX, USA"
60,Michael Cherry,CKWRI,"Kingsville, TX, USA"
61,Cole Anderson,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
61,Randy DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
61,Michael Cherry,CKWRI,"Kingsville, TX, USA"
61,David Hewitt,Caesar Kleberg Wildlife Research Institute / Texas A&M University Kingsville,"Kingsville, TX, USA"
61,Joseph Hediger,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
61,Charles DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
61,Stuart Stedman,Faith Ranch,"77001, TX, USA"
61,Matthew Moore,Faith Ranch,"Houston, TX, USA"
62,Patrick Ryan,Texas Christian University,"Austin, TX, USA"
63,Mandi Gordon,"Environmental Institute of Houston, University of Houston-Clear Lake","Houston, TX, USA"
63,Jason Nagro,University of Houston - Clear Lake,"Houston, TX, USA"
63,Danielle DeChellis,University of Houston - Clear Lake,"Houston, TX, USA"
63,Louisa Collins,Tangled Bank Conservation,"Asheville, NC, USA"
63,Hannah Nelson,Tangled Bank Conservation,"Asheville, NC, USA"
63,Joseph Apodaca,Tangled Bank Conservation,"Asheville, NC, USA"
63,Jenny Oakley,University of Houston - Clear Lake,"Houston, TX, USA"
63,George Guillen,University of Houston - Clear Lake,"Houston, TX, USA"
64,Sara Joseph,University of North Texas,"Denton, TX, USA"
64,Andrew Gregory,NA,"Denton, TX, USA"
64,Jaime Jimenez,University of North Texas,"Denton, TX, USA"
65,Doreen Mata,Tarleton State University,"Stephenville, TX, USA"
65,Tiffany Nash,Tarleton State University,"Stephenville, TX, USA"
65,Heather Mathewson,Tarleton State University,"Stephenville, TX, USA"
65,Jeff Brady,Texas A&M AgriLife Research,"Stephenville, TX, USA"
65,Devin Erxleben,Texas Parks and Wildlife Department,"Stephenville, TX, USA"
66,Veda Allen,Stephen F. Austin State University,"Austin, TX, USA"
66,Christopher Schalk,"Southern Research Station, USDA Forest Service","Nacogdoches, TX, USA"
66,Daniel Saenz,"USDA Forest Service, Southern Research Station","Nacogdoches, TX, USA"
66,Tatiana Suarez-Joaqui,Stephen F. Austin State University,"Nacogdoches, TX, USA"
67,Brian Hays,Bamert Seed Company,"Muleshoe, TX, USA"
67,George Peacock,Colorado State University,"Burleson, TX, USA"
68,Lori Massey,CKWRI-TAMUK,"Buffalo, TX, USA"
68,Aaron Foley,CKWRI-TAMUK,"Kingsville, TX, USA"
68,Jeremy Baumgardt,CKWRI-TAMUK,"Kingsville, TX, USA"
68,Randy DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
68,Zachary Pearson,CKWRI-TAMUK,"Kingsville, TX, USA"
68,Humberto Perotto,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
69,Angela Grogan,Texas Tech University,"Lubbock, TX, USA"
69,Matthew Buchholz,NA,"Lubbock, TX, USA"
69,Courtney Ramsey,Texas Tech University,"Lubbock, TX, USA"
69,Matthew Johnson,Texas Tech University,"Lubbock, TX, USA"
69,Warren Conway,Texas Tech University,"Shallowater, TX, USA"
70,Silverio Avila,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
70,Humberto Perotto,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
70,Kye Johnston,NA,"Victoria, TX, USA"
70,Lori Massey,CKWRI-TAMUK,"Buffalo, TX, USA"
70, J. Alfonso Ortega,CKWRI-TAMUK,"Kingsville, TX, USA"
70,Leonard Brennan,NA,"Kingsville, TX, USA"
70,Fidel Hernandez,Texas A&M University-Kingsville,"Kingsville, TX, USA"
71,Georgina Eccles,Caesar Kleberg Wildlife Research Institute - Texas A&M University Kingsville,"Kingsville, TX, USA"
71,Matti Bradshaw,NA,"Kingsville, TX, USA"
71,Jay VonBank,U.S. Geological Survey,"Jamestown, ND, USA"
71,Bart Ballard,Texas A&M University-Kingsville,"Kingsville, TX, USA"
72,Tessa Boucher,University of North Texas,"Fort Worth, TX, USA"
72,James Bednarz,University of North Texas,"Denton, TX, USA"
72,Andrew Gregory,NA,"Denton, TX, USA"
73,Brooke Poplin,University of North Texas,"Denton, TX, USA"
73,James Bednarz,University of North Texas,"Denton, TX, USA"
73,Kelsey Biles,Houston Audubon Society,"Denton, TX, USA"
74,Madeleine Kaleta,University of North Texas,"Denton, TX, USA"
74,Kelsey Biles,Houston Audubon Society,"Denton, TX, USA"
74,James Bednarz,University of North Texas,"Denton, TX, USA"
74,Andrew Gregory,NA,"Denton, TX, USA"
75,Teresa Kenny,Texas A&M University,"Bryan, TX, USA"
76,Thomas Yamashita,CKWRI - TAMUK,"Kingsville, TX, USA"
76,David Wester,NA,"Kingsville, TX, USA"
76,Zachary Wardle,CKWRI - TAMUK,"Kingsville, TX, USA"
76,Daniel Scognamillo,NA,"Kingsville, TX, USA"
76,Landon Schofield,East Foundation,"Kingsville, TX, USA"
76,John Young,Texas Department Transportation,"Austin, TX, USA"
76,Jason Lombardi,NA,"Kingsville, TX, USA"
77,Annie Braack,The Wildlife Society at Texas Tech,"Lubbock, TX, USA"
77,Blake Grisham,Texas Tech University,"Lubbock, TX, USA"
78,Margaret Sinner,Texas A&M - College Station,"Cypress, TX, USA"
79,Saren Perales,CKWRI / TAMUK,"San Antonio, TX, USA"
79,Christin Moeller,Texas A&M University- Kingsville,"Kingsville, TX, USA"
79,Scott Henke,Texas A&M University-Kingsville,"Kingsville, TX, USA"
79,Sandra Rideout-Hanzak,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
79,David Wester,NA,"Kingsville, TX, USA"
79,Cord Eversole,Texas A&M International University,"Laredo, TX, USA"
80,Christin Moeller,Texas A&M University- Kingsville,"Kingsville, TX, USA"
80,Saren Perales,CKWRI / TAMUK,"San Antonio, TX, USA"
80,Wraith Rodriguez,CKWRI / TAMUK,"Kingsville, TX, USA"
80,Juan Elissetche,Caesar Kleberg Wildlife Research Institute,"Edcouch, TX, USA"
