Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
2010182,Butterfield City Number 3 Colonia,Populated Place,El Paso County,Texas,Helms West Well,1290,31.833998,-106.0924773,None,10/20/2003,null,null,null,null,48141,48
2010183,Butterfield City Number 4 Colonia,Populated Place,El Paso County,Texas,Helms West Well,1339,31.8539976,-106.0694213,None,10/20/2003,null,null,null,null,48141,48
1353465,Byers,Populated Place,Clay County,Texas,Petrolia,308,34.0681503,-98.1905989,None,11/30/1979,11644,P1,null,null,48077,48
1372861,Bynum,Populated Place,Hill County,Texas,Abbott,199,31.9718229,-97.0030566,None,11/30/1979,11656,P1,null,null,48217,48
1378078,Byrd,Populated Place,Ellis County,Texas,Cryer Creek,135,32.210704,-96.6663793,None,11/30/1979,11668,U6,null,null,48139,48
1378079,Byrds,Populated Place,Brown County,Texas,Byrds,437,31.9134802,-99.0420007,None,11/30/1979,11680,U6,null,null,48049,48
1380823,Byrdtown,Populated Place,Lamar County,Texas,Deport,164,33.6123301,-95.364952,None,11/30/1979,null,null,null,null,48277,48
1379487,Byrne,Populated Place,Tom Green County,Texas,Pecan Station,591,31.3182201,-100.4770379,None,11/30/1979,null,null,null,null,48451,48
2010484,C A Conner Colonia,Populated Place,Hidalgo County,Texas,Mercedes,18,26.1422979,-97.8863879,None,10/20/2003,null,null,null,null,48215,48
2010517,CJRS Colonia,Populated Place,Hidalgo County,Texas,Alton,56,26.3442357,-98.3364047,None,10/20/2003,null,null,null,null,48215,48
1353497,Cactus,Populated Place,Moore County,Texas,Cactus West,1103,36.0522574,-102.0023993,None,11/30/1979,11692,P1,null,null,48341,48
1378080,Cactus,Populated Place,Webb County,Texas,Callaghan Ranch North,178,27.9069534,-99.3939246,None,11/30/1979,null,null,null,null,48479,48
1378081,Caddo,Populated Place,Stephens County,Texas,Caddo,382,32.7181802,-98.6683936,None,11/30/1979,11704,U6,null,null,48429,48
1379488,Caddo,Populated Place,Wilson County,Texas,Alum,137,29.2927401,-97.9030579,None,11/30/1979,null,null,null,null,48493,48
1331827,Caddo Mills,Populated Place,Hunt County,Texas,Greenville SW,162,33.0656732,-96.2277554,None,11/30/1979,11716,P1,null,null,48231,48
2010189,Cadena Colonia,Populated Place,Duval County,Texas,Rosita SE,94,27.7653033,-98.2541735,None,10/20/2003,null,null,null,null,48131,48
1378082,Cadiz,Populated Place,Bee County,Texas,Cadiz,105,28.4272191,-97.9394462,None,11/30/1979,11740,U6,null,null,48025,48
1379489,Caesar,Populated Place,Bee County,Texas,Monteola,129,28.6555425,-97.898335,None,11/30/1979,11752,U6,null,null,48025,48
1378083,Cain City,Populated Place,Gillespie County,Texas,Cain City,534,30.197149,-98.8128142,None,11/30/1979,11776,U6,null,null,48171,48
1331858,Calallen,Populated Place,Nueces County,Texas,Annaville,15,27.8675221,-97.6230508,None,11/30/1979,11788,U4,null,null,48355,48
1353527,Calaveras,Populated Place,Wilson County,Texas,Saspamco,130,29.2221857,-98.2600108,None,11/30/1979,null,null,null,null,48493,48
2010184,Calcutta Colonia,Populated Place,El Paso County,Texas,Ysleta,1116,31.6712234,-106.2766475,None,10/20/2003,null,null,null,null,48141,48
1331869,Calder Highlands,Populated Place,Jefferson County,Texas,Beaumont West,8,30.0968794,-94.1443478,None,11/30/1979,11812,U4,null,null,48245,48
1331870,Calder Terrace,Populated Place,Jefferson County,Texas,Beaumont West,7,30.0891018,-94.1576816,None,11/30/1979,11824,U4,null,null,48245,48
1353534,Caldwell,Populated Place,Burleson County,Texas,Caldwell,117,30.5313152,-96.6930303,None,11/30/1979,11836,P1,null,null,48051,48
1379490,Caldwell,Populated Place,Lubbock County,Texas,Abernathy SW,1023,33.7659165,-101.9576725,None,11/30/1979,null,null,null,null,48303,48
1379491,Caldwell Crossing,Populated Place,McLennan County,Texas,Speegleville,149,31.6240522,-97.3347331,None,11/30/1979,null,null,null,null,48309,48
1331874,Caldwood,Populated Place,Jefferson County,Texas,Beaumont West,5,30.0771575,-94.1574037,None,11/30/1979,11848,U4,null,null,48245,48
1331875,Caldwood Acres,Populated Place,Jefferson County,Texas,Beaumont West,5,30.0616023,-94.1537924,None,11/30/1979,11860,U4,null,null,48245,48
